page_id,title,revision_id,article_quality_prediction,country,population,region
71984452.0,Lakhdar Rakhroukh,1186317568.0,Stub,Algeria,46.8,NORTHERN AFRICA
75419664.0,Layachi Yaker,1226060720.0,Start,Algeria,46.8,NORTHERN AFRICA
76216650.0,Mohamed Ali Boughazi,1213870570.0,Start,Algeria,46.8,NORTHERN AFRICA
69509983.0,Naima Salhi,1213404244.0,Stub,Algeria,46.8,NORTHERN AFRICA
75534043.0,Salim Saadi,1229426851.0,Stub,Algeria,46.8,NORTHERN AFRICA
72004676.0,Samia Moualfi,1212181372.0,Stub,Algeria,46.8,NORTHERN AFRICA
71935626.0,Soraya Mouloudji,1226335614.0,Stub,Algeria,46.8,NORTHERN AFRICA
72058737.0,Yacine Oualid,1214837789.0,Stub,Algeria,46.8,NORTHERN AFRICA
2911041.0,Abel Chivukuvuku,1165626565.0,Start,Angola,36.7,MIDDLE AFRICA
70373705.0,Abraão Gourgel,1124441544.0,Stub,Angola,36.7,MIDDLE AFRICA
59146803.0,Adalberto Costa Júnior,1244123151.0,Stub,Angola,36.7,MIDDLE AFRICA
67009617.0,Adjany Costa,1242000475.0,Start,Angola,36.7,MIDDLE AFRICA
76157103.0,Adão Francisco Correia de Almeida,1209524394.0,Stub,Angola,36.7,MIDDLE AFRICA
59160194.0,Alexandre Sebastião André,1172178750.0,Stub,Angola,36.7,MIDDLE AFRICA
76157096.0,Ana Paula Chantre Luna de Carvalho,1209514022.0,Stub,Angola,36.7,MIDDLE AFRICA
66494161.0,Arlete Chimbinda,1177486404.0,Start,Angola,36.7,MIDDLE AFRICA
76156970.0,Bernarda Gonçalves Martins,1210193481.0,Stub,Angola,36.7,MIDDLE AFRICA
35728776.0,Carolina Cerqueira,1241977204.0,C,Angola,36.7,MIDDLE AFRICA
76156983.0,Diamantino Pedro Azevedo,1209522689.0,Stub,Angola,36.7,MIDDLE AFRICA
76157043.0,Faustina Fernandes Inglês de Almeida Alves,1251032908.0,Stub,Angola,36.7,MIDDLE AFRICA
70373619.0,Fiel Domingos Constantino,1217387083.0,Stub,Angola,36.7,MIDDLE AFRICA
7182495.0,Jeremias Chitunda,1220287872.0,Start,Angola,36.7,MIDDLE AFRICA
